"n","k","c","r","Weight","Power","MCSE"
50,4,0.5,5,"Uniform",0,0
50,4,0.5,5,"Central",0.049,0.00305283474822991
50,4,0.5,5,"Tail",0.043,0.00286883251515316
50,4,0.5,8,"Uniform",0,0
50,4,0.5,8,"Central",0.0496,0.00307049963361014
50,4,0.5,8,"Tail",0.054,0.00319637294444813
50,4,1,1,"Uniform",0,0
50,4,1,1,"Central",0.0532,0.00317394895989208
50,4,1,1,"Tail",0.0542,0.00320194815698193
50,4,1,2,"Uniform",0,0
50,4,1,2,"Central",0.0464,0.00297479545515318
50,4,1,2,"Tail",0.053,0.00316831185333767
50,4,1,3,"Uniform",0,0
50,4,1,3,"Central",0.0454,0.00294410733499986
50,4,1,3,"Tail",0.0458,0.00295642892693195
50,4,1,5,"Uniform",0,0
50,4,1,5,"Central",0.0482,0.00302908435009658
50,4,1,5,"Tail",0.0444,0.00291302729132427
50,4,1,8,"Uniform",0,0
50,4,1,8,"Central",0.051,0.00311123769583746
50,4,1,8,"Tail",0.0486,0.0030409879973456
50,4,1.5,1,"Uniform",0,0
50,4,1.5,1,"Central",0.0536,0.00318518570887162
50,4,1.5,1,"Tail",0.0588,0.00332693733033852
50,4,1.5,2,"Uniform",0,0
50,4,1.5,2,"Central",0.0468,0.00298696367570816
50,4,1.5,2,"Tail",0.0514,0.00312275647465504
50,4,1.5,3,"Uniform",0,0
50,4,1.5,3,"Central",0.0528,0.00316266216975509
50,4,1.5,3,"Tail",0.0458,0.00295642892693195
50,4,1.5,5,"Uniform",0,0
50,4,1.5,5,"Central",0.045,0.00293172304285381
50,4,1.5,5,"Tail",0.0466,0.00298088711627931
50,4,1.5,8,"Uniform",0,0
50,4,1.5,8,"Central",0.0556,0.00324063697442339
50,4,1.5,8,"Tail",0.0506,0.00309966578843591
50,4,2,1,"Uniform",0,0
50,4,2,1,"Central",0.0592,0.0033375248313683
50,4,2,1,"Tail",0.0532,0.00317394895989208
50,4,2,2,"Uniform",0,0
50,4,2,2,"Central",0.0502,0.00308804015517933
50,4,2,2,"Tail",0.0584,0.00331630637909105
50,4,2,3,"Uniform",0,0
50,4,2,3,"Central",0.0562,0.00325704037432759
50,4,2,3,"Tail",0.0424,0.00284963997726029
50,4,2,5,"Uniform",0,0
50,4,2,5,"Central",0.0466,0.00298088711627931
50,4,2,5,"Tail",0.0444,0.00291302729132427
50,4,2,8,"Uniform",0,0
50,4,2,8,"Central",0.0448,0.00292550713552369
50,4,2,8,"Tail",0.061,0.00338464178311383
50,8,0.5,1,"Uniform",0,0
50,8,0.5,1,"Central",0.0512,0.0031170036894428
50,8,0.5,1,"Tail",0.054,0.00319637294444813
50,8,0.5,2,"Uniform",0,0
50,8,0.5,2,"Central",0.0466,0.00298088711627931
50,8,0.5,2,"Tail",0.0568,0.00327333957908433
50,8,0.5,3,"Uniform",0,0
50,8,0.5,3,"Central",0.0472,0.00299907185642492
50,8,0.5,3,"Tail",0.0442,0.00290676314824583
50,8,0.5,5,"Uniform",0,0
50,8,0.5,5,"Central",0.0484,0.00303504332753257
50,8,0.5,5,"Tail",0.0476,0.00301112072159188
50,8,0.5,8,"Uniform",0,0
50,8,0.5,8,"Central",0.0548,0.00321860093829602
50,8,0.5,8,"Tail",0.0502,0.00308804015517933
50,8,1,1,"Uniform",0,0
50,8,1,1,"Central",0.0512,0.0031170036894428
50,8,1,1,"Tail",0.0494,0.0030646252625729
50,8,1,2,"Uniform",0,0
50,8,1,2,"Central",0.0468,0.00298696367570816
50,8,1,2,"Tail",0.0556,0.00324063697442339
50,8,1,3,"Uniform",0,0
50,8,1,3,"Central",0.047,0.00299302522541993
50,8,1,3,"Tail",0.0448,0.00292550713552369
50,8,1,5,"Uniform",0,0
50,8,1,5,"Central",0.0476,0.00301112072159188
50,8,1,5,"Tail",0.0458,0.00295642892693195
50,8,1,8,"Uniform",0,0
50,8,1,8,"Central",0.0458,0.00295642892693195
50,8,1,8,"Tail",0.047,0.00299302522541993
50,8,1.5,1,"Uniform",0,0
50,8,1.5,1,"Central",0.048,0.00302311098043059
50,8,1.5,1,"Tail",0.05,0.00308220700148449
50,8,1.5,2,"Uniform",0,0
50,8,1.5,2,"Central",0.0478,0.00301712313305241
50,8,1.5,2,"Tail",0.052,0.00313993630508646
50,8,1.5,3,"Uniform",0,0
50,8,1.5,3,"Central",0.0504,0.00309385972532693
50,8,1.5,3,"Tail",0.0438,0.00289418589589542
50,8,1.5,5,"Uniform",0,0
50,8,1.5,5,"Central",0.0466,0.00298088711627931
50,8,1.5,5,"Tail",0.0542,0.00320194815698193
50,8,1.5,8,"Uniform",0,0
50,8,1.5,8,"Central",0.053,0.00316831185333767
50,8,1.5,8,"Tail",0.045,0.00293172304285381
50,8,2,1,"Uniform",0,0
50,8,2,1,"Central",0.058,0.00330563155841664
50,8,2,1,"Tail",0.0502,0.00308804015517933
50,8,2,2,"Uniform",0,0
50,8,2,2,"Central",0.0444,0.00291302729132427
50,8,2,2,"Tail",0.044,0.00290048271844533
50,8,2,3,"Uniform",0,0
50,8,2,3,"Central",0.0478,0.00301712313305241
50,8,2,3,"Tail",0.0442,0.00290676314824583
50,8,2,5,"Uniform",0,0
50,8,2,5,"Central",0.0542,0.00320194815698193
50,8,2,5,"Tail",0.0508,0.00310545842026584
50,8,2,8,"Uniform",0,0
50,8,2,8,"Central",0.0472,0.00299907185642492
50,8,2,8,"Tail",0.0526,0.00315699984162179
100,1,0.5,1,"Uniform",0,0
100,1,0.5,1,"Central",0.0456,0.00295027591929975
100,1,0.5,1,"Tail",0.05,0.00308220700148449
100,1,0.5,2,"Uniform",0,0
100,1,0.5,2,"Central",0.05,0.00308220700148449
100,1,0.5,2,"Tail",0.0422,0.00284320804725929
100,1,0.5,3,"Uniform",0,0
100,1,0.5,3,"Central",0.0514,0.00312275647465504
100,1,0.5,3,"Tail",0.0466,0.00298088711627931
100,1,0.5,5,"Uniform",0,0
100,1,0.5,5,"Central",0.0534,0.00317957355631223
100,1,0.5,5,"Tail",0.0554,0.00323514574633045
100,1,0.5,8,"Uniform",0,0
100,1,0.5,8,"Central",0.052,0.00313993630508646
100,1,0.5,8,"Tail",0.0426,0.00285605462132642
100,1,1,1,"Uniform",0,0
100,1,1,1,"Central",0.0518,0.0031342227106573
100,1,1,1,"Tail",0.0446,0.00291927525252416
100,1,1,2,"Uniform",0,0
100,1,1,2,"Central",0.048,0.00302311098043059
100,1,1,2,"Tail",0.0392,0.0027445713690848
100,1,1,3,"Uniform",0,0
100,1,1,3,"Central",0.0454,0.00294410733499986
100,1,1,3,"Tail",0.0464,0.00297479545515318
100,1,1,5,"Uniform",0,0
100,1,1,5,"Central",0.0492,0.00305873699425106
100,1,1,5,"Tail",0.055,0.0032241277890307
100,1,1,8,"Uniform",0,0
100,1,1,8,"Central",0.0476,0.00301112072159188
100,1,1,8,"Tail",0.0458,0.00295642892693195
100,1,1.5,1,"Uniform",0,0
100,1,1.5,1,"Central",0.0476,0.00301112072159188
100,1,1.5,1,"Tail",0.0418,0.00283029185774188
100,1,1.5,2,"Uniform",0,0
100,1,1.5,2,"Central",0.0486,0.0030409879973456
100,1,1.5,2,"Tail",0.0458,0.00295642892693195
100,1,1.5,3,"Uniform",0,0
100,1,1.5,3,"Central",0.0468,0.00298696367570816
100,1,1.5,3,"Tail",0.0422,0.00284320804725929
100,1,1.5,5,"Uniform",0,0
100,1,1.5,5,"Central",0.0464,0.00297479545515318
100,1,1.5,5,"Tail",0.0614,0.00339499749631719
100,1,1.5,8,"Uniform",0,0
100,1,1.5,8,"Central",0.0496,0.00307049963361014
100,1,1.5,8,"Tail",0.0438,0.00289418589589542
100,1,2,1,"Uniform",0,0
100,1,2,1,"Central",0.0542,0.00320194815698193
100,1,2,1,"Tail",0.0402,0.00277791144567281
100,1,2,2,"Uniform",0,0
100,1,2,2,"Central",0.0454,0.00294410733499986
100,1,2,2,"Tail",0.041,0.00280424677944007
100,1,2,3,"Uniform",0,0
100,1,2,3,"Central",0.0536,0.00318518570887162
100,1,2,3,"Tail",0.042,0.00283675871374356
100,1,2,5,"Uniform",0,0
100,1,2,5,"Central",0.0502,0.00308804015517933
100,1,2,5,"Tail",0.0512,0.0031170036894428
100,1,2,8,"Uniform",0,0
100,1,2,8,"Central",0.0456,0.00295027591929975
100,1,2,8,"Tail",0.043,0.00286883251515316
100,2,0.5,1,"Uniform",0,0
100,2,0.5,1,"Central",0.045,0.00293172304285381
100,2,0.5,1,"Tail",0.0478,0.00301712313305241
100,2,0.5,2,"Uniform",0,0
100,2,0.5,2,"Central",0.051,0.00311123769583746
100,2,0.5,2,"Tail",0.0464,0.00297479545515318
100,2,0.5,3,"Uniform",0,0
100,2,0.5,3,"Central",0.0506,0.00309966578843591
100,2,0.5,3,"Tail",0.0456,0.00295027591929975
100,2,0.5,5,"Uniform",0,0
100,2,0.5,5,"Central",0.0518,0.0031342227106573
100,2,0.5,5,"Tail",0.053,0.00316831185333767
100,2,0.5,8,"Uniform",0,0
100,2,0.5,8,"Central",0.052,0.00313993630508646
100,2,0.5,8,"Tail",0.0482,0.00302908435009658
100,2,1,1,"Uniform",0,0
100,2,1,1,"Central",0.0494,0.0030646252625729
100,2,1,1,"Tail",0.0412,0.00281078494374792
100,2,1,2,"Uniform",0,0
100,2,1,2,"Central",0.046,0.00296256645495084
100,2,1,2,"Tail",0.0452,0.00293792307591605
100,2,1,3,"Uniform",0,0
100,2,1,3,"Central",0.0534,0.00317957355631223
100,2,1,3,"Tail",0.0466,0.00298088711627931
100,2,1,5,"Uniform",0,0
100,2,1,5,"Central",0.0574,0.0032895361375124
100,2,1,5,"Tail",0.06,0.00335857112474933
100,2,1,8,"Uniform",0,0
100,2,1,8,"Central",0.049,0.00305283474822991
100,2,1,8,"Tail",0.0548,0.00321860093829602
100,2,1.5,1,"Uniform",0,0
100,2,1.5,1,"Central",0.049,0.00305283474822991
100,2,1.5,1,"Tail",0.049,0.00305283474822991
100,2,1.5,2,"Uniform",0,0
100,2,1.5,2,"Central",0.0482,0.00302908435009658
100,2,1.5,2,"Tail",0.0458,0.00295642892693195
100,2,1.5,3,"Uniform",0,0
100,2,1.5,3,"Central",0.0542,0.00320194815698193
100,2,1.5,3,"Tail",0.0502,0.00308804015517933
100,2,1.5,5,"Uniform",0,0
100,2,1.5,5,"Central",0.0604,0.00336903072114221
