"n","x0","eta","c","r","Weight","Power","MCSE"
50,0.25,0.1,1,1,"Uniform",0,0
50,0.25,0.1,1,1,"Central",0.0608,0.00337944847571316
50,0.25,0.1,1,1,"Tail",0.0488,0.00304691844328003
50,0.25,0.1,1,1,"Localized",0.0324,0.00250400638976821
50,0.25,0.1,1,2,"Uniform",0,0
50,0.25,0.1,1,2,"Central",0.052,0.00313993630508646
50,0.25,0.1,1,2,"Tail",0.0538,0.00319078548323136
50,0.25,0.1,1,2,"Localized",0.033,0.00252630164469724
50,0.25,0.1,1,3,"Uniform",0,0
50,0.25,0.1,1,3,"Central",0.0498,0.00307636018697421
50,0.25,0.1,1,3,"Tail",0.0476,0.00301112072159188
50,0.25,0.1,1,3,"Localized",0.0366,0.00265557677350891
50,0.25,0.1,1,5,"Uniform",0,0
50,0.25,0.1,1,5,"Central",0.0574,0.0032895361375124
50,0.25,0.1,1,5,"Tail",0.0362,0.00264157377334043
50,0.25,0.1,1,5,"Localized",0.038,0.0027039230758289
50,0.25,0.1,1,8,"Uniform",0,0
50,0.25,0.1,1,8,"Central",0.0542,0.00320194815698193
50,0.25,0.1,1,8,"Tail",0.041,0.00280424677944007
50,0.25,0.1,1,8,"Localized",0.0324,0.00250400638976821
50,0.25,0.1,1.5,1,"Uniform",0,0
50,0.25,0.1,1.5,1,"Central",0.0594,0.00334280241713446
50,0.25,0.1,1.5,1,"Tail",0.0554,0.00323514574633045
50,0.25,0.1,1.5,1,"Localized",0.0264,0.00226729089443768
50,0.25,0.1,1.5,2,"Uniform",0,0
50,0.25,0.1,1.5,2,"Central",0.056,0.00325158422926425
50,0.25,0.1,1.5,2,"Tail",0.0524,0.00315132480077824
50,0.25,0.1,1.5,2,"Localized",0.0282,0.00234114331043616
50,0.25,0.1,1.5,3,"Uniform",0,0
50,0.25,0.1,1.5,3,"Central",0.0606,0.00337424480439698
50,0.25,0.1,1.5,3,"Tail",0.0498,0.00307636018697421
50,0.25,0.1,1.5,3,"Localized",0.0272,0.00230044169671826
50,0.25,0.1,1.5,5,"Uniform",0,0
50,0.25,0.1,1.5,5,"Central",0.0602,0.00336380617753164
50,0.25,0.1,1.5,5,"Tail",0.0414,0.00281730509529941
50,0.25,0.1,1.5,5,"Localized",0.0358,0.00262748396760094
50,0.25,0.1,1.5,8,"Uniform",0,0
50,0.25,0.1,1.5,8,"Central",0.061,0.00338464178311383
50,0.25,0.1,1.5,8,"Tail",0.0392,0.0027445713690848
50,0.25,0.1,1.5,8,"Localized",0.0382,0.0027107474983849
50,0.25,0.1,2,1,"Uniform",0,0
50,0.25,0.1,2,1,"Central",0.068,0.00356022471200906
50,0.25,0.1,2,1,"Tail",0.047,0.00299302522541993
50,0.25,0.1,2,1,"Localized",0.0234,0.00213786996798215
50,0.25,0.1,2,2,"Uniform",0,0
50,0.25,0.1,2,2,"Central",0.058,0.00330563155841664
50,0.25,0.1,2,2,"Tail",0.0512,0.0031170036894428
50,0.25,0.1,2,2,"Localized",0.0226,0.00210186774084384
50,0.25,0.1,2,3,"Uniform",0,0
50,0.25,0.1,2,3,"Central",0.0642,0.00346636293541227
50,0.25,0.1,2,3,"Tail",0.0456,0.00295027591929975
50,0.25,0.1,2,3,"Localized",0.026,0.00225051105307217
50,0.25,0.1,2,5,"Uniform",0,0
50,0.25,0.1,2,5,"Central",0.0632,0.00344109749934523
50,0.25,0.1,2,5,"Tail",0.0362,0.00264157377334043
50,0.25,0.1,2,5,"Localized",0.0352,0.00260618341641566
50,0.25,0.1,2,8,"Uniform",0,0
50,0.25,0.1,2,8,"Central",0.0548,0.00321860093829602
50,0.25,0.1,2,8,"Tail",0.0388,0.00273110087693589
50,0.25,0.1,2,8,"Localized",0.0316,0.00247392158323581
50,0.25,0.2,0.5,1,"Uniform",0,0
50,0.25,0.2,0.5,1,"Central",0.0582,0.003310974478911
50,0.25,0.2,0.5,1,"Tail",0.0544,0.0032075111847038
50,0.25,0.2,0.5,1,"Localized",0.0466,0.00298088711627931
50,0.25,0.2,0.5,2,"Uniform",0,0
50,0.25,0.2,0.5,2,"Central",0.0458,0.00295642892693195
50,0.25,0.2,0.5,2,"Tail",0.054,0.00319637294444813
50,0.25,0.2,0.5,2,"Localized",0.0488,0.00304691844328003
