"n","pi","mu","r","Weight","Power","MCSE"
50,0.3,1,8,"Central",0.015,0.00171901134376711
50,0.3,1,8,"Tail",0.264,0.00623384311640901
50,0.3,1.5,1,"Uniform",0,0
50,0.3,1.5,1,"Central",0.0318,0.00248148181536758
50,0.3,1.5,1,"Tail",0.104,0.00431703602023425
50,0.3,1.5,2,"Uniform",0,0
50,0.3,1.5,2,"Central",0.0078,0.00124411896537268
50,0.3,1.5,2,"Tail",0.244,0.00607394435272501
50,0.3,1.5,3,"Uniform",0,0
50,0.3,1.5,3,"Central",0.0082,0.00127536347760158
50,0.3,1.5,3,"Tail",0.3334,0.00666699992500375
50,0.3,1.5,5,"Uniform",0,0
50,0.3,1.5,5,"Central",0.0024,0.000691988439209789
50,0.3,1.5,5,"Tail",0.4614,0.00704996510629663
50,0.3,1.5,8,"Uniform",0,0
50,0.3,1.5,8,"Central",0.0046,0.000956957679315026
50,0.3,1.5,8,"Tail",0.5308,0.00705763926536345
100,0.1,0.5,1,"Uniform",0,0
100,0.1,0.5,1,"Central",0.0496,0.00307049963361014
100,0.1,0.5,1,"Tail",0.0502,0.00308804015517933
100,0.1,0.5,2,"Uniform",0,0
100,0.1,0.5,2,"Central",0.051,0.00311123769583746
100,0.1,0.5,2,"Tail",0.0562,0.00325704037432759
100,0.1,0.5,3,"Uniform",0,0
100,0.1,0.5,3,"Central",0.0482,0.00302908435009658
100,0.1,0.5,3,"Tail",0.0548,0.00321860093829602
100,0.1,0.5,5,"Uniform",0,0
100,0.1,0.5,5,"Central",0.046,0.00296256645495084
100,0.1,0.5,5,"Tail",0.0536,0.00318518570887162
100,0.1,0.5,8,"Uniform",0,0
100,0.1,0.5,8,"Central",0.041,0.00280424677944007
100,0.1,0.5,8,"Tail",0.0694,0.00359398497492686
100,0.1,1,1,"Uniform",0,0
100,0.1,1,1,"Central",0.0506,0.00309966578843591
100,0.1,1,1,"Tail",0.0468,0.00298696367570816
100,0.1,1,2,"Uniform",0,0
100,0.1,1,2,"Central",0.0432,0.00287519599331941
100,0.1,1,2,"Tail",0.0562,0.00325704037432759
100,0.1,1,3,"Uniform",0,0
100,0.1,1,3,"Central",0.0444,0.00291302729132427
100,0.1,1,3,"Tail",0.064,0.00346132922444543
100,0.1,1,5,"Uniform",0,0
100,0.1,1,5,"Central",0.0372,0.00267642149146953
100,0.1,1,5,"Tail",0.0832,0.00390583563402251
100,0.1,1,8,"Uniform",0,0
100,0.1,1,8,"Central",0.0356,0.00262040607540129
100,0.1,1,8,"Tail",0.11,0.00442492937796752
100,0.1,1.5,1,"Uniform",0,0
100,0.1,1.5,1,"Central",0.0484,0.00303504332753257
100,0.1,1.5,1,"Tail",0.0482,0.00302908435009658
100,0.1,1.5,2,"Uniform",0,0
100,0.1,1.5,2,"Central",0.0278,0.00232495849425318
100,0.1,1.5,2,"Tail",0.0802,0.00384104048403554
100,0.1,1.5,3,"Uniform",0,0
100,0.1,1.5,3,"Central",0.032,0.00248901586977665
100,0.1,1.5,3,"Tail",0.1024,0.00428752236145772
100,0.1,1.5,5,"Uniform",0,0
100,0.1,1.5,5,"Central",0.0228,0.00211093154791907
100,0.1,1.5,5,"Tail",0.1448,0.00497660446489371
100,0.1,1.5,8,"Uniform",0,0
100,0.1,1.5,8,"Central",0.0236,0.00214676687136727
100,0.1,1.5,8,"Tail",0.187,0.0055141817162658
100,0.2,0.5,1,"Uniform",0,0
100,0.2,0.5,1,"Central",0.0454,0.00294410733499986
100,0.2,0.5,1,"Tail",0.0486,0.0030409879973456
100,0.2,0.5,2,"Uniform",0,0
100,0.2,0.5,2,"Central",0.0436,0.00288787257336608
100,0.2,0.5,2,"Tail",0.0574,0.0032895361375124
100,0.2,0.5,3,"Uniform",0,0
