"n","pi","mu","r","Weight","Power","MCSE"
500,0.3,1,3,"Central",4e-04,0.000282786138274138
500,0.3,1,3,"Tail",0.427,0.00699529842108255
500,0.3,1,5,"Uniform",0,0
500,0.3,1,5,"Central",2e-04,0.0001999799989999
500,0.3,1,5,"Tail",0.6436,0.00677316823945781
500,0.3,1,8,"Uniform",0,0
500,0.3,1,8,"Central",0,0
500,0.3,1,8,"Tail",0.806,0.00559220886591336
500,0.3,1.5,1,"Uniform",0,0
500,0.3,1.5,1,"Central",0.0128,0.0015897270205919
500,0.3,1.5,1,"Tail",0.1792,0.005423787606461
500,0.3,1.5,2,"Uniform",0,0
500,0.3,1.5,2,"Central",2e-04,0.0001999799989999
500,0.3,1.5,2,"Tail",0.5704,0.00700062625770009
500,0.3,1.5,3,"Uniform",0,0
500,0.3,1.5,3,"Central",4e-04,0.000282786138274138
500,0.3,1.5,3,"Tail",0.8142,0.00550051561219491
500,0.3,1.5,5,"Uniform",0,0
500,0.3,1.5,5,"Central",0,0
500,0.3,1.5,5,"Tail",0.9576,0.00284963997726029
500,0.3,1.5,8,"Uniform",0,0
500,0.3,1.5,8,"Central",0,0
500,0.3,1.5,8,"Tail",0.9916,0.00129069283720024
1000,0.1,0.5,1,"Uniform",0,0
1000,0.1,0.5,1,"Central",0.0614,0.00339499749631719
1000,0.1,0.5,1,"Tail",0.0328,0.00251889499582654
1000,0.1,0.5,2,"Uniform",0,0
1000,0.1,0.5,2,"Central",0.0468,0.00298696367570816
1000,0.1,0.5,2,"Tail",0.0466,0.00298088711627931
1000,0.1,0.5,3,"Uniform",0,0
1000,0.1,0.5,3,"Central",0.0458,0.00295642892693195
1000,0.1,0.5,3,"Tail",0.052,0.00313993630508646
1000,0.1,0.5,5,"Uniform",0,0
1000,0.1,0.5,5,"Central",0.047,0.00299302522541993
1000,0.1,0.5,5,"Tail",0.0548,0.00321860093829602
1000,0.1,0.5,8,"Uniform",0,0
1000,0.1,0.5,8,"Central",0.0362,0.00264157377334043
1000,0.1,0.5,8,"Tail",0.0694,0.00359398497492686
1000,0.1,1,1,"Uniform",0,0
1000,0.1,1,1,"Central",0.0768,0.00376568081493905
1000,0.1,1,1,"Tail",0.032,0.00248901586977665
1000,0.1,1,2,"Uniform",0,0
1000,0.1,1,2,"Central",0.0478,0.00301712313305241
1000,0.1,1,2,"Tail",0.0496,0.00307049963361014
1000,0.1,1,3,"Uniform",0,0
1000,0.1,1,3,"Central",0.0314,0.00246633493264804
1000,0.1,1,3,"Tail",0.0712,0.00363677219523027
1000,0.1,1,5,"Uniform",0,0
1000,0.1,1,5,"Central",0.0166,0.00180690010791964
1000,0.1,1,5,"Tail",0.1168,0.00454219682532582
1000,0.1,1,8,"Uniform",0,0
1000,0.1,1,8,"Central",0.0114,0.00150133540556399
1000,0.1,1,8,"Tail",0.1814,0.00544966127387749
1000,0.1,1.5,1,"Uniform",0,0
1000,0.1,1.5,1,"Central",0.0676,0.0035504996831432
1000,0.1,1.5,1,"Tail",0.0324,0.00250400638976821
1000,0.1,1.5,2,"Uniform",0,0
1000,0.1,1.5,2,"Central",0.0194,0.00195057119839292
1000,0.1,1.5,2,"Tail",0.1064,0.0043607118684912
1000,0.1,1.5,3,"Uniform",0,0
1000,0.1,1.5,3,"Central",0.0072,0.00119567219587979
1000,0.1,1.5,3,"Tail",0.2034,0.00569259940624668
1000,0.1,1.5,5,"Uniform",0,0
1000,0.1,1.5,5,"Central",0.0024,0.000691988439209789
1000,0.1,1.5,5,"Tail",0.4004,0.00692935552558822
1000,0.1,1.5,8,"Uniform",0,0
1000,0.1,1.5,8,"Central",6e-04,0.000346306222872186
1000,0.1,1.5,8,"Tail",0.6068,0.00690787608458635
1000,0.2,0.5,1,"Uniform",0,0
1000,0.2,0.5,1,"Central",0.0566,0.00326791799162709
1000,0.2,0.5,1,"Tail",0.0512,0.0031170036894428
1000,0.2,0.5,2,"Uniform",0,0
1000,0.2,0.5,2,"Central",0.0396,0.00275796446677618
1000,0.2,0.5,2,"Tail",0.0694,0.00359398497492686
1000,0.2,0.5,3,"Uniform",0,0
1000,0.2,0.5,3,"Central",0.0302,0.00242024626846112
1000,0.2,0.5,3,"Tail",0.0852,0.0039481884453506
1000,0.2,0.5,5,"Uniform",0,0
1000,0.2,0.5,5,"Central",0.016,0.00177448584102551
1000,0.2,0.5,5,"Tail",0.116,0.00452866426223009
1000,0.2,0.5,8,"Uniform",0,0
1000,0.2,0.5,8,"Central",0.0158,0.00176353962246387
1000,0.2,0.5,8,"Tail",0.1756,0.00538079250668524
1000,0.2,1,1,"Uniform",0,0
1000,0.2,1,1,"Central",0.0506,0.00309966578843591
1000,0.2,1,1,"Tail",0.0504,0.00309385972532693
1000,0.2,1,2,"Uniform",0,0
1000,0.2,1,2,"Central",0.0118,0.00152713850059515
1000,0.2,1,2,"Tail",0.1522,0.00508006220434357
1000,0.2,1,3,"Uniform",0,0
1000,0.2,1,3,"Central",0.0036,0.000846999409681022
1000,0.2,1,3,"Tail",0.283,0.00637041599897526
1000,0.2,1,5,"Uniform",0,0
1000,0.2,1,5,"Central",0.001,0.00044698993277254
1000,0.2,1,5,"Tail",0.4992,0.00707105876089288
1000,0.2,1,8,"Uniform",0,0
1000,0.2,1,8,"Central",4e-04,0.000282786138274138
1000,0.2,1,8,"Tail",0.7004,0.00647826890457628
1000,0.2,1.5,1,"Uniform",0,0
1000,0.2,1.5,1,"Central",0.0296,0.00239682456596222
1000,0.2,1.5,1,"Tail",0.0996,0.00423508772046105
1000,0.2,1.5,2,"Uniform",0,0
1000,0.2,1.5,2,"Central",0.001,0.00044698993277254
1000,0.2,1.5,2,"Tail",0.4502,0.00703590733310211
1000,0.2,1.5,3,"Uniform",0,0
1000,0.2,1.5,3,"Central",2e-04,0.0001999799989999
1000,0.2,1.5,3,"Tail",0.7632,0.00601208383175085
1000,0.2,1.5,5,"Uniform",0,0
1000,0.2,1.5,5,"Central",0,0
1000,0.2,1.5,5,"Tail",0.9564,0.00288787257336607
1000,0.2,1.5,8,"Uniform",0,0
1000,0.2,1.5,8,"Central",0,0
1000,0.2,1.5,8,"Tail",0.9938,0.00111009549138801
1000,0.3,0.5,1,"Uniform",0,0
1000,0.3,0.5,1,"Central",0.0456,0.00295027591929975
1000,0.3,0.5,1,"Tail",0.0662,0.00351617860752266
1000,0.3,0.5,2,"Uniform",0,0
1000,0.3,0.5,2,"Central",0.0208,0.00201828441999635
1000,0.3,0.5,2,"Tail",0.1202,0.00459895553359673
1000,0.3,0.5,3,"Uniform",0,0
1000,0.3,0.5,3,"Central",0.0146,0.00169628063715884
1000,0.3,0.5,3,"Tail",0.173,0.0053492242428225
1000,0.3,0.5,5,"Uniform",0,0
1000,0.3,0.5,5,"Central",0.0064,0.00112774465194919
1000,0.3,0.5,5,"Tail",0.2674,0.0062593488479234
1000,0.3,0.5,8,"Uniform",0,0
1000,0.3,0.5,8,"Central",0.003,0.00077343390150678
1000,0.3,0.5,8,"Tail",0.3586,0.00678241903748213
1000,0.3,1,1,"Uniform",0,0
1000,0.3,1,1,"Central",0.022,0.00207441558035028
1000,0.3,1,1,"Tail",0.1326,0.00479619098869092
1000,0.3,1,2,"Uniform",0,0
1000,0.3,1,2,"Central",0.0024,0.000691988439209789
1000,0.3,1,2,"Tail",0.4178,0.0069748571311533
1000,0.3,1,3,"Uniform",0,0
1000,0.3,1,3,"Central",4e-04,0.000282786138274138
1000,0.3,1,3,"Tail",0.6676,0.00666198528968655
1000,0.3,1,5,"Uniform",0,0
1000,0.3,1,5,"Central",0,0
1000,0.3,1,5,"Tail",0.8884,0.00445298641363299
1000,0.3,1,8,"Uniform",0,0
1000,0.3,1,8,"Central",0,0
1000,0.3,1,8,"Tail",0.9682,0.00248148181536759
1000,0.3,1.5,1,"Uniform",0,0
1000,0.3,1.5,1,"Central",0.0098,0.00139312311013779
1000,0.3,1.5,1,"Tail",0.246,0.00609071424383052
1000,0.3,1.5,2,"Uniform",0,0
1000,0.3,1.5,2,"Central",0,0
1000,0.3,1.5,2,"Tail",0.8088,0.00556134084551559
1000,0.3,1.5,3,"Uniform",0,0
1000,0.3,1.5,3,"Central",0,0
1000,0.3,1.5,3,"Tail",0.975,0.00220794021658196
1000,0.3,1.5,5,"Uniform",0,0
1000,0.3,1.5,5,"Central",0,0
1000,0.3,1.5,5,"Tail",0.9988,0.000489603921552918
1000,0.3,1.5,8,"Uniform",0,0
1000,0.3,1.5,8,"Central",0,0
1000,0.3,1.5,8,"Tail",1,0
