"n","Perturbation","x0","eta","c","r","Weight","Kappa","Lambda","Empirical_Power","MCSE","Theoretical_Power","Zero_Kappa"
50,"Linear",NA,NA,1.5,8,"Tail",1.07213309997844e-16,1.60819964996765e-16,0.0618,0.00340531232047811,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,1,"Uniform",4.56700082322557e-17,9.13400164645114e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,1,"Central",-1.09855274925353e-19,-2.19710549850706e-19,0.0516,0.00312849612433834,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,1,"Tail",1.07213309997844e-16,2.14426619995687e-16,0.0608,0.00337944847571316,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,2,"Uniform",4.56700082322557e-17,9.13400164645114e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,2,"Central",-1.09855274925353e-19,-2.19710549850706e-19,0.0446,0.00291927525252416,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,2,"Tail",1.07213309997844e-16,2.14426619995687e-16,0.0638,0.00345628586780665,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,3,"Uniform",4.56700082322557e-17,9.13400164645114e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,3,"Central",-1.09855274925353e-19,-2.19710549850706e-19,0.043,0.00286883251515316,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,3,"Tail",1.07213309997844e-16,2.14426619995687e-16,0.0702,0.00361308621541197,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,5,"Uniform",4.56700082322557e-17,9.13400164645114e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,5,"Central",-1.09855274925353e-19,-2.19710549850706e-19,0.0398,0.00276463234445378,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,5,"Tail",1.07213309997844e-16,2.14426619995687e-16,0.0614,0.00339499749631719,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,8,"Uniform",4.56700082322557e-17,9.13400164645114e-17,0,0,0.0500000000000001,TRUE
50,"Linear",NA,NA,2,8,"Central",-1.09855274925353e-19,-2.19710549850706e-19,0.0338,0.0025556822963741,0.0500000000000001,TRUE
