"n","x0","delta","r","Weight","Power","MCSE"
50,0.5,0.4,5,"Central",0.0706,0.00362258581678889
50,0.5,0.4,5,"Tail",0.0232,0.0021289321266776
50,0.5,0.4,8,"Uniform",0,0
50,0.5,0.4,8,"Central",0.0478,0.00301712313305241
50,0.5,0.4,8,"Tail",0.0316,0.00247392158323581
50,0.75,0.05,1,"Uniform",0,0
50,0.75,0.05,1,"Central",0.038,0.0027039230758289
50,0.75,0.05,1,"Tail",0.0596,0.00334806929438445
50,0.75,0.05,2,"Uniform",0,0
50,0.75,0.05,2,"Central",0.0444,0.00291302729132427
50,0.75,0.05,2,"Tail",0.0578,0.00330027756408457
50,0.75,0.05,3,"Uniform",0,0
50,0.75,0.05,3,"Central",0.0398,0.00276463234445378
50,0.75,0.05,3,"Tail",0.059,0.00333223648620562
50,0.75,0.05,5,"Uniform",0,0
50,0.75,0.05,5,"Central",0.0472,0.00299907185642492
50,0.75,0.05,5,"Tail",0.0394,0.00275127752144345
50,0.75,0.05,8,"Uniform",0,0
50,0.75,0.05,8,"Central",0.0394,0.00275127752144345
50,0.75,0.05,8,"Tail",0.0596,0.00334806929438445
50,0.75,0.1,1,"Uniform",0,0
50,0.75,0.1,1,"Central",0.0296,0.00239682456596222
50,0.75,0.1,1,"Tail",0.0852,0.0039481884453506
50,0.75,0.1,2,"Uniform",0,0
50,0.75,0.1,2,"Central",0.0326,0.00251146331846595
50,0.75,0.1,2,"Tail",0.0774,0.00377913323395723
50,0.75,0.1,3,"Uniform",0,0
50,0.75,0.1,3,"Central",0.0272,0.00230044169671826
50,0.75,0.1,3,"Tail",0.0674,0.00354562378150869
50,0.75,0.1,5,"Uniform",0,0
50,0.75,0.1,5,"Central",0.032,0.00248901586977665
50,0.75,0.1,5,"Tail",0.0456,0.00295027591929975
50,0.75,0.1,8,"Uniform",0,0
50,0.75,0.1,8,"Central",0.0322,0.00249652398346181
50,0.75,0.1,8,"Tail",0.0446,0.00291927525252416
50,0.75,0.2,1,"Uniform",0,0
50,0.75,0.2,1,"Central",0.0212,0.00203718236787971
50,0.75,0.2,1,"Tail",0.159,0.00517144080503683
50,0.75,0.2,2,"Uniform",0,0
50,0.75,0.2,2,"Central",0.019,0.00193075114916449
50,0.75,0.2,2,"Tail",0.1614,0.00520288458453577
50,0.75,0.2,3,"Uniform",0,0
50,0.75,0.2,3,"Central",0.0146,0.00169628063715884
50,0.75,0.2,3,"Tail",0.1172,0.00454893745835222
50,0.75,0.2,5,"Uniform",0,0
50,0.75,0.2,5,"Central",0.0214,0.00204656004065358
50,0.75,0.2,5,"Tail",0.0528,0.00316266216975509
50,0.75,0.2,8,"Uniform",0,0
50,0.75,0.2,8,"Central",0.0154,0.00174142700105402
50,0.75,0.2,8,"Tail",0.04,0.0027712812921102
50,0.75,0.4,1,"Uniform",0,0
50,0.75,0.4,1,"Central",0.3114,0.00654874094769369
50,0.75,0.4,1,"Tail",0.0098,0.00139312311013779
50,0.75,0.4,2,"Uniform",0,0
50,0.75,0.4,2,"Central",0.2804,0.00635257176268006
50,0.75,0.4,2,"Tail",0.0112,0.00148825804214189
50,0.75,0.4,3,"Uniform",0,0
50,0.75,0.4,3,"Central",0.221,0.00586786162072692
50,0.75,0.4,3,"Tail",0.01,0.00140712472794703
50,0.75,0.4,5,"Uniform",0,0
