"n","x0","eta","c","r","Weight","Power","MCSE","Power_MCSE"
50,0.25,0.1,0.5,3,"Uniform",0.0474,0.00300510365877785,"0.0474 (0.0030)"
50,0.25,0.1,0.5,3,"Central",0.0512,0.0031170036894428,"0.0512 (0.0031)"
50,0.25,0.1,0.5,3,"Tail",0.0478,0.00301712313305241,"0.0478 (0.0030)"
50,0.25,0.1,0.5,5,"Uniform",0.0458,0.00295642892693195,"0.0458 (0.0030)"
50,0.25,0.1,0.5,5,"Central",0.0534,0.00317957355631223,"0.0534 (0.0032)"
50,0.25,0.1,0.5,5,"Tail",0.0458,0.00295642892693195,"0.0458 (0.0030)"
50,0.25,0.1,0.5,8,"Uniform",0.049,0.00305283474822991,"0.0490 (0.0031)"
50,0.25,0.1,0.5,8,"Central",0.048,0.00302311098043059,"0.0480 (0.0030)"
50,0.25,0.1,0.5,8,"Tail",0.04,0.0027712812921102,"0.0400 (0.0028)"
50,0.25,0.1,1,1,"Uniform",0.05,0.00308220700148449,"0.0500 (0.0031)"
50,0.25,0.1,1,1,"Central",0.0576,0.00329491244193226,"0.0576 (0.0033)"
50,0.25,0.1,1,1,"Tail",0.0384,0.00271755183943195,"0.0384 (0.0027)"
50,0.25,0.1,1,2,"Uniform",0.0484,0.00303504332753257,"0.0484 (0.0030)"
50,0.25,0.1,1,2,"Central",0.0516,0.00312849612433834,"0.0516 (0.0031)"
50,0.25,0.1,1,2,"Tail",0.0408,0.00279769047608916,"0.0408 (0.0028)"
50,0.25,0.1,1,3,"Uniform",0.0488,0.00304691844328003,"0.0488 (0.0030)"
50,0.25,0.1,1,3,"Central",0.0516,0.00312849612433834,"0.0516 (0.0031)"
50,0.25,0.1,1,3,"Tail",0.0436,0.00288787257336608,"0.0436 (0.0029)"
50,0.25,0.1,1,5,"Uniform",0.048,0.00302311098043059,"0.0480 (0.0030)"
50,0.25,0.1,1,5,"Central",0.043,0.00286883251515316,"0.0430 (0.0029)"
50,0.25,0.1,1,5,"Tail",0.0484,0.00303504332753257,"0.0484 (0.0030)"
50,0.25,0.1,1,8,"Uniform",0.0492,0.00305873699425106,"0.0492 (0.0031)"
50,0.25,0.1,1,8,"Central",0.0572,0.00328414859590732,"0.0572 (0.0033)"
50,0.25,0.1,1,8,"Tail",0.055,0.0032241277890307,"0.0550 (0.0032)"
50,0.25,0.1,1.5,1,"Uniform",0.047,0.00299302522541993,"0.0470 (0.0030)"
50,0.25,0.1,1.5,1,"Central",0.0636,0.0034512328232097,"0.0636 (0.0035)"
50,0.25,0.1,1.5,1,"Tail",0.042,0.00283675871374356,"0.0420 (0.0028)"
50,0.25,0.1,1.5,2,"Uniform",0.0548,0.00321860093829602,"0.0548 (0.0032)"
50,0.25,0.1,1.5,2,"Central",0.052,0.00313993630508646,"0.0520 (0.0031)"
50,0.25,0.1,1.5,2,"Tail",0.0406,0.00279111590586991,"0.0406 (0.0028)"
50,0.25,0.1,1.5,3,"Uniform",0.0504,0.00309385972532693,"0.0504 (0.0031)"
50,0.25,0.1,1.5,3,"Central",0.0542,0.00320194815698193,"0.0542 (0.0032)"
50,0.25,0.1,1.5,3,"Tail",0.036,0.00263453980801202,"0.0360 (0.0026)"
50,0.25,0.1,1.5,5,"Uniform",0.0458,0.00295642892693195,"0.0458 (0.0030)"
50,0.25,0.1,1.5,5,"Central",0.0516,0.00312849612433834,"0.0516 (0.0031)"
50,0.25,0.1,1.5,5,"Tail",0.0448,0.00292550713552369,"0.0448 (0.0029)"
50,0.25,0.1,1.5,8,"Uniform",0.0524,0.00315132480077824,"0.0524 (0.0032)"
50,0.25,0.1,1.5,8,"Central",0.0466,0.00298088711627931,"0.0466 (0.0030)"
50,0.25,0.1,1.5,8,"Tail",0.0452,0.00293792307591605,"0.0452 (0.0029)"
50,0.25,0.1,2,1,"Uniform",0.0476,0.00301112072159188,"0.0476 (0.0030)"
50,0.25,0.1,2,1,"Central",0.0584,0.00331630637909105,"0.0584 (0.0033)"
50,0.25,0.1,2,1,"Tail",0.0388,0.00273110087693589,"0.0388 (0.0027)"
50,0.25,0.1,2,2,"Uniform",0.051,0.00311123769583746,"0.0510 (0.0031)"
50,0.25,0.1,2,2,"Central",0.0508,0.00310545842026584,"0.0508 (0.0031)"
50,0.25,0.1,2,2,"Tail",0.0402,0.00277791144567281,"0.0402 (0.0028)"
50,0.25,0.1,2,3,"Uniform",0.0398,0.00276463234445378,"0.0398 (0.0028)"
50,0.25,0.1,2,3,"Central",0.0494,0.0030646252625729,"0.0494 (0.0031)"
50,0.25,0.1,2,3,"Tail",0.0362,0.00264157377334043,"0.0362 (0.0026)"
50,0.25,0.1,2,5,"Uniform",0.042,0.00283675871374356,"0.0420 (0.0028)"
50,0.25,0.1,2,5,"Central",0.0466,0.00298088711627931,"0.0466 (0.0030)"
50,0.25,0.1,2,5,"Tail",0.0396,0.00275796446677618,"0.0396 (0.0028)"
50,0.25,0.1,2,8,"Uniform",0.0498,0.00307636018697421,"0.0498 (0.0031)"
50,0.25,0.1,2,8,"Central",0.0474,0.00300510365877785,"0.0474 (0.0030)"
50,0.25,0.1,2,8,"Tail",0.0346,0.0025846794772273,"0.0346 (0.0026)"
50,0.25,0.2,0.5,1,"Uniform",0.0438,0.00289418589589542,"0.0438 (0.0029)"
50,0.25,0.2,0.5,1,"Central",0.0624,0.00342070869850094,"0.0624 (0.0034)"
50,0.25,0.2,0.5,1,"Tail",0.046,0.00296256645495084,"0.0460 (0.0030)"
50,0.25,0.2,0.5,2,"Uniform",0.055,0.0032241277890307,"0.0550 (0.0032)"
50,0.25,0.2,0.5,2,"Central",0.0538,0.00319078548323136,"0.0538 (0.0032)"
50,0.25,0.2,0.5,2,"Tail",0.0412,0.00281078494374792,"0.0412 (0.0028)"
50,0.25,0.2,0.5,3,"Uniform",0.0538,0.00319078548323136,"0.0538 (0.0032)"
50,0.25,0.2,0.5,3,"Central",0.0498,0.00307636018697421,"0.0498 (0.0031)"
50,0.25,0.2,0.5,3,"Tail",0.0488,0.00304691844328003,"0.0488 (0.0030)"
50,0.25,0.2,0.5,5,"Uniform",0.0496,0.00307049963361014,"0.0496 (0.0031)"
50,0.25,0.2,0.5,5,"Central",0.05,0.00308220700148449,"0.0500 (0.0031)"
50,0.25,0.2,0.5,5,"Tail",0.045,0.00293172304285381,"0.0450 (0.0029)"
50,0.25,0.2,0.5,8,"Uniform",0.0522,0.00314563697841947,"0.0522 (0.0031)"
50,0.25,0.2,0.5,8,"Central",0.051,0.00311123769583746,"0.0510 (0.0031)"
50,0.25,0.2,0.5,8,"Tail",0.0442,0.00290676314824583,"0.0442 (0.0029)"
50,0.25,0.2,1,1,"Uniform",0.0438,0.00289418589589542,"0.0438 (0.0029)"
50,0.25,0.2,1,1,"Central",0.0652,0.00349138826256834,"0.0652 (0.0035)"
50,0.25,0.2,1,1,"Tail",0.0444,0.00291302729132427,"0.0444 (0.0029)"
50,0.25,0.2,1,2,"Uniform",0.048,0.00302311098043059,"0.0480 (0.0030)"
50,0.25,0.2,1,2,"Central",0.0478,0.00301712313305241,"0.0478 (0.0030)"
50,0.25,0.2,1,2,"Tail",0.0396,0.00275796446677618,"0.0396 (0.0028)"
50,0.25,0.2,1,3,"Uniform",0.052,0.00313993630508646,"0.0520 (0.0031)"
50,0.25,0.2,1,3,"Central",0.05,0.00308220700148449,"0.0500 (0.0031)"
50,0.25,0.2,1,3,"Tail",0.0404,0.00278452293939195,"0.0404 (0.0028)"
